,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
current_language,English,Русский,Português (Brasil),Español,Deutsch,Francais,Italiano,Polski,简体中文,日本語,한국어,,,
arena_predictive_netcode_name,Predictive Netcode,Предиктивный Неткод,,,vorhersagbarer Code,,,Przewidujący kod sieciowy,网码预测,,,,,
arena_predictive_netcode_description,Predict player movement using latency.,Предсказывает движения пользователя используя задержку.,,,Spielerbewegung vorhersagen,,,Przewiduj ruch graczy na bazie opóźnienia,使用延迟预测玩家移动,,,,,
arena_material_wall,Wall,Стена,,,Wand,,,Ściana,墙,,,,,
arena_perk_extra_money_description,You gain double gold.,Вы получаете в два раза больше золота.,,,Du bekommst doppeltes Gold,,,Zdobywasz podwójną ilość złota.,你获得双倍黄金。,,,,,
arena_zone_shrinking,Zone is shrinking,Зона уменьшается,,,Zone schrumpft,,,Strefa się zmniejsza,安全区域正在收缩!,,,,,
arena_zone_shrink_countdown,Zone will shrink in %s seconds,Зона уменьшится через %s секунд,,,Zone schrumpft in %s Sekunden,,,Strefa się zmniejszy za %s sekund,安全区域将在 %s 秒后缩小！,,,,,
arena_winner_text,%s won this round!,%s выиграл раунд!,,,%s hat die Runde gewonnen!,,,%s wygrał tę rundę!,%s 赢得本局！,,,,,
arena_tie_text,It was a tie!,Это была ничья!,,,Unentschieden!,,,Remis!,平局！,,,,,
arena_round_end_text,Prepare for the next round in your holy mountain.,Подготовьтесь к следующему раунду в святой горе.,,,Bereite dich für die nächste Runde im Heiligen Berg vor.,,,Przygotuj się do kolejnej rundy w świątyni.,在圣山准备下一轮,,,,,
arena_kill,%s was killed by %s,%s был убит %s,,,%s (victim) wurde von %s (killer) getötet,,,%s został zabity przez %s,%s 被 %s 杀死了,,,,,
arena_compensation,You will be compensated for dying.,Ваша смерть будет компенсирована,,,Du wirst für das Sterben entschädigt,,,Dostaniesz rekompensatę za śmierć!,你获得死亡抚恤,,,,,
arena_player_died,You died!,Вы умерли!,,,Du bist gestorben!,,,Nie żyjesz!,阵亡,,,,,
arena_round_gold,You were granted %s gold for this round (Rounds: %s),Вы получили %s золота за этот раунд (%s Раунд),,,Du hast diese Runde %s Gold erhalten (Runde: %s),,,Otrzymałeś %s złota za tę rundę (Rundy: %s),本轮你获得 %s 黄金（轮数：%s）,,,,,
arena_self_ready,You are ready.,Вы готовы.,,,Du bist bereit.,,,Jesteś gotowy.,准备完成,,,,,
arena_self_unready,You are no longer ready.,Вы более не готовы.,,,Du bist nicht mehr bereit.,,,Nie jesteś gotowy.,取消准备,,,,,
arena_player_left,Player %s left the game.,Игрок %s покинул игру.,,,Spieler %s hat das Spiel verlassen.,,,Gracz %s opuścił grę.,玩家离开了游戏,,,,,
arena_spectating_text,Spectating %s,Наблюдение за %s,,,Schaue %s zu,,,Obserwujesz %s,正在观战 %s,,,,,
arena_gamemode_name,Arena,Арена,,,Arena,,,Arena,竞技场,,,,,
arena_settings_damage_cap_name,Damage Cap,Лимит Урона,,,Schadenslimit,,,Limit obrażeń,单次伤害上限,,,,,
arena_settings_damage_cap_description,"One shot protection, how much damage can be dealt to a player at once.",Защита от ваншота. Сколько урона можно нанести игроку за один удар.,,,wie viel Schaden einem Spieler auf einmal zugefügt werden kann.,,,"Ochrona przed śmiercią od jednego ataku, ile obrażeń można zadać graczowi jednocześnie.",针对一击秒杀的保护措施，单次对玩家造成的最大伤害,,,,,
arena_settings_damage_cap_25,25% of max,25% максимума,,,25% vom Maximum,,,25% obrażeń,0.25倍最大生命,,,,,
arena_settings_damage_cap_50,50% of max,50% максимума,,,50% vom Maximum,,,50% obrażeń,0.50倍最大生命,,,,,
arena_settings_damage_cap_75,75% of max,75% максимума,,,75% vom Maximum,,,75% obrażeń,0.75倍最大生命,,,,,
arena_settings_damage_cap_disabled,Disabled,Выключено,,,deaktiviert,,,Wyłączone,禁用保护,,,,,
arena_settings_zone_shrink_name,Zone Mode,Режим Зоны,,,Zonen Modus,,,Tryb strefy,伤害区域,,,,,
arena_settings_zone_shrink_description,How the damage zone shrinks over time.,Как зона уменьшается со временем.,,,Wie schnell die Zone über Zeit schrumpft.,,,Jak strefa obrażeń zmniejsza się z czasem,安全区域随时间缩小的方式,,,,,
arena_settings_zone_shrink_static,Static,Статичная,,,statisch,,,Nieruchoma,静止,,,,,
arena_settings_zone_shrink_linear,Linear Shrinking,Линейное уменьшение,,,lineares Schrumpfen,,,Zmniejszająca się liniowo,线性收缩,,,,,
arena_settings_zone_shrink_stepped,Stepped Shrinking,Уменьшение по шагам,,,stufiges Schrumpfen,,,Zmniejszająca się krokowo,步进收缩,,,,,
arena_settings_zone_shrink_disabled,Disabled,Выключено,,,deaktiviert,,,Wyłączona,禁用伤害区域,,,,,
arena_settings_zone_speed_name,Zone Speed,Скорость Зоны,,,Zonen Geschwindigkeit,,,Prędkośc strefy,收缩速度,,,,,
arena_settings_zone_speed_description,How fast the damage zone shrinks over time. \nPixels per step or pixels per minute.,Как быстро зона уменьшается со временем. \n Пиксели за шаг или пиксели в минуту.,,,Wie schnell die Zone über Zeit schrumpft. % Pixel pro Schritt or % Pixel pro Minute.,,,Jak szybko strefa obrażeń zmniejsza się w czasie.\nPiksele na krok lub piksele na minutę.,伤害区域随时间缩小的速度。 \n调整的是单次缩小的像素距离,,,,,
arena_settings_zone_step_interval_name,Zone Interval,Интервал Зоны,,,Zonen Intervall,,,Okres zmniejszania strefy,收缩间隔,,,,,
arena_settings_zone_step_interval_description,Seconds between zone shrinks. \n(Only used in Stepped Shrinking mode),"Секунд между уменьшениями зоны. \n (Используется только в режиме ""Уменьшается по шагам"")",,,Sekunden zwischen Zonen schrumpfen ( Nur im stufigem Schrumpf Modus ),,,Sekundy pomiędzy zmniejszeniami strefy.\n(Tylko w trybie krokowym),安全区的缩小间隔时间 \n（仅在步进收缩模式下使用）,,,,,
arena_settings_shop_type_name,Shop Style,Тип Магазина,,,Laden Typ,,,Rodzaj sklepu,商店风格,,,,,
arena_settings_shop_type_description,Decides which style of shop will the player have between rounds.,Определяет какой тип магазина игроки получат между раундами.,,,Entscheidet welchen Typ Laden ein Spieler zwischen Runden bekommt.,,,Określa jaki rodzaj sklepu gracze odwiedzą pomiędzy rundami.,决定玩家在回合之间拥有哪种风格的商店。,,,,,
arena_settings_shop_type_alternating,Alternating,Чередующийся,,,abwechselnd,,,Alternujące,交替,,,,,
arena_settings_shop_type_mixed,Mixed,Смешанный,,,gemischt,,,Mieszane,混合,,,,,
arena_settings_shop_type_random,Random,Случайный,,,zufällig,,,Losowe,随机,,,,,
arena_settings_shop_type_spell_only,Spells Only,Только Заклинания,,,Nur Zauber,,,Tylko czary,仅限法术,,,,,
arena_settings_shop_type_wand_only,Wands Only,Только Жезлы,,,Nur Zauberstäbe,,,Tylko różdżki,仅限法杖,,,,,
